                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.2045,                 1.1177,                 1.0136,                0.39829,                0.29734,                0.28819,                0.16003,                 2.1417,                 1.0392,                0.98215,               0.006634,               0.006634,               0.006634
                     37,                  2.198,                 1.1129,                 1.0116,                0.39202,                0.30216,                0.29333,                0.16381,                 2.1353,                 1.0333,                0.97823,               0.006535,               0.006535,               0.006535
                     38,                 2.1941,                 1.1084,                 1.0113,                0.40323,                0.29742,                0.28942,                0.16072,                 2.1334,                 1.0288,                0.97906,               0.006436,               0.006436,               0.006436
                     39,                 2.1886,                 1.1007,                 1.0107,                 0.4013,                0.30466,                0.29199,                0.16161,                 2.1259,                 1.0238,                0.97352,               0.006337,               0.006337,               0.006337
                     40,                 2.1918,                 1.0971,                 1.0072,                0.39262,                0.29845,                0.28946,                 0.1621,                 2.1296,                 1.0269,                0.97478,               0.006238,               0.006238,               0.006238
                     41,                 2.1924,                 1.0992,                  1.009,                0.39448,                0.30098,                0.29138,                0.16286,                 2.1301,                 1.0259,                0.97461,               0.006139,               0.006139,               0.006139
                     42,                 2.1816,                 1.0881,                 1.0059,                0.39727,                0.30096,                0.29522,                0.16593,                 2.1281,                 1.0219,                0.97503,                0.00604,                0.00604,                0.00604
                     43,                 2.1768,                 1.0802,                 1.0033,                0.38938,                0.30783,                0.29705,                0.16754,                 2.1228,                 1.0147,                0.97343,               0.005941,               0.005941,               0.005941
                     44,                 2.1804,                 1.0842,                 1.0018,                0.39301,                0.31048,                0.29931,                0.16808,                 2.1226,                 1.0131,                 0.9725,               0.005842,               0.005842,               0.005842
                     45,                 2.1765,                 1.0799,                 1.0042,                0.39707,                0.31612,                0.29852,                0.16707,                 2.1228,                 1.0121,                0.97122,               0.005743,               0.005743,               0.005743
                     46,                 2.1726,                 1.0692,                0.99951,                0.39849,                 0.3086,                0.29849,                0.16814,                 2.1247,                  1.011,                0.97273,               0.005644,               0.005644,               0.005644
                     47,                 2.1723,                 1.0713,                 1.0002,                0.40115,                0.31304,                0.30288,                0.17079,                  2.118,                 1.0056,                0.97062,               0.005545,               0.005545,               0.005545
                     48,                 2.1781,                  1.076,                 1.0061,                 0.4071,                0.31325,                0.30483,                0.17134,                 2.1161,                 1.0038,                   0.97,               0.005446,               0.005446,               0.005446
                     49,                 2.1734,                 1.0679,                0.99764,                0.39623,                0.31644,                0.30457,                0.17062,                 2.1159,                  1.003,                0.96903,               0.005347,               0.005347,               0.005347
                     50,                 2.1759,                 1.0687,                 1.0003,                0.39583,                0.31898,                0.30553,                0.17175,                 2.1131,                 0.9967,                 0.9693,               0.005248,               0.005248,               0.005248
                     51,                 2.1654,                 1.0563,                0.99803,                0.41877,                0.31383,                0.30638,                0.17272,                 2.1139,                0.99584,                0.96883,               0.005149,               0.005149,               0.005149
                     52,                 2.1606,                 1.0508,                0.99716,                0.41789,                0.30967,                0.30798,                0.17367,                 2.1122,                 0.9957,                0.96892,                0.00505,                0.00505,                0.00505
                     53,                 2.1624,                 1.0548,                0.99474,                0.40962,                0.31912,                0.31118,                0.17394,                 2.1112,                0.99282,                0.96789,               0.004951,               0.004951,               0.004951
                     54,                 2.1629,                 1.0535,                0.99783,                0.40846,                0.31287,                0.30777,                0.17431,                 2.1097,                0.99087,                0.96755,               0.004852,               0.004852,               0.004852
                     55,                 2.1603,                 1.0549,                0.99428,                0.41776,                0.31459,                0.31003,                0.17612,                  2.104,                0.98671,                0.96578,               0.004753,               0.004753,               0.004753
                     56,                 2.1577,                 1.0446,                0.99628,                0.41831,                0.31647,                0.31385,                0.17827,                 2.1051,                0.98397,                  0.965,               0.004654,               0.004654,               0.004654
                     57,                 2.1606,                 1.0425,                0.99393,                0.40266,                0.31818,                0.31106,                0.17737,                 2.1048,                0.98168,                0.96618,               0.004555,               0.004555,               0.004555
                     58,                 2.1499,                 1.0322,                0.99259,                0.40803,                0.31892,                0.31321,                0.17701,                 2.1056,                0.98261,                0.96607,               0.004456,               0.004456,               0.004456
                     59,                 2.1469,                 1.0334,                 0.9902,                0.41812,                0.31634,                0.31517,                0.17807,                 2.1026,                0.98068,                0.96495,               0.004357,               0.004357,               0.004357
                     60,                 2.1528,                 1.0348,                0.99311,                0.41915,                0.31857,                0.31606,                0.17959,                 2.1017,                0.97721,                 0.9637,               0.004258,               0.004258,               0.004258
                     61,                 2.1522,                 1.0301,                0.99166,                0.41762,                0.32337,                 0.3183,                0.18055,                 2.1014,                0.97669,                0.96437,               0.004159,               0.004159,               0.004159
                     62,                 2.1447,                 1.0227,                0.98653,                0.41424,                0.32181,                0.31609,                 0.1788,                 2.0994,                0.97364,                0.96305,                0.00406,                0.00406,                0.00406
                     63,                 2.1467,                  1.025,                0.98943,                0.41946,                0.32368,                0.31801,                0.17979,                 2.1006,                0.97296,                0.96381,               0.003961,               0.003961,               0.003961
                     64,                 2.1429,                 1.0219,                0.98721,                0.41818,                0.32108,                0.31813,                0.17976,                 2.0976,                0.97409,                0.96246,               0.003862,               0.003862,               0.003862
                     65,                 2.1395,                 1.0191,                0.98642,                0.42264,                0.32043,                0.31893,                0.18069,                 2.0964,                0.97187,                0.96233,               0.003763,               0.003763,               0.003763
                     66,                 2.1413,                 1.0185,                0.98817,                0.42453,                0.32391,                0.32041,                0.18216,                 2.0947,                0.97213,                0.96131,               0.003664,               0.003664,               0.003664
                     67,                 2.1372,                 1.0127,                0.98543,                0.43127,                0.32271,                0.32328,                0.18335,                 2.0939,                 0.9643,                 0.9615,               0.003565,               0.003565,               0.003565
                     68,                 2.1327,                 1.0113,                0.98583,                  0.417,                0.32648,                0.32232,                0.18283,                 2.0937,                 0.9642,                 0.9615,               0.003466,               0.003466,               0.003466
                     69,                 2.1294,                 1.0049,                0.98305,                0.41502,                0.32562,                0.32137,                0.18236,                 2.0938,                0.96574,                  0.962,               0.003367,               0.003367,               0.003367
                     70,                 2.1369,                 1.0091,                0.98232,                0.41789,                0.32607,                0.32096,                0.18216,                 2.0926,                0.96378,                0.96067,               0.003268,               0.003268,               0.003268
                     71,                 2.1313,                 0.9989,                0.98366,                0.42037,                0.32606,                0.32184,                0.18285,                 2.0905,                0.96265,                0.96007,               0.003169,               0.003169,               0.003169
                     72,                 2.1277,                0.99577,                0.98274,                0.41931,                0.32596,                0.32354,                0.18483,                 2.0889,                0.96052,                0.95973,                0.00307,                0.00307,                0.00307
                     73,                 2.1291,                0.99469,                0.98176,                  0.421,                0.32678,                0.32348,                0.18466,                 2.0891,                0.96062,                0.95993,               0.002971,               0.002971,               0.002971
                     74,                   2.13,                0.99982,                0.97988,                0.43213,                0.32647,                0.32421,                0.18488,                 2.0899,                0.95839,                0.95996,               0.002872,               0.002872,               0.002872
                     75,                 2.1216,                0.99006,                 0.9789,                0.42792,                0.32344,                0.32436,                0.18498,                 2.0873,                0.95593,                0.95852,               0.002773,               0.002773,               0.002773
                     76,                 2.1201,                0.98578,                 0.9789,                0.42681,                0.32572,                0.32452,                0.18477,                 2.0874,                0.95414,                0.95861,               0.002674,               0.002674,               0.002674
                     77,                 2.1216,                0.98975,                0.97787,                0.43233,                0.32584,                0.32613,                0.18585,                 2.0873,                0.95351,                 0.9592,               0.002575,               0.002575,               0.002575
                     78,                 2.1246,                0.99052,                0.98125,                0.43362,                0.32709,                0.32619,                0.18606,                 2.0862,                0.95432,                0.95762,               0.002476,               0.002476,               0.002476
                     79,                 2.1193,                0.98258,                0.97941,                0.43247,                0.32647,                0.32635,                0.18606,                 2.0863,                0.95537,                0.95754,               0.002377,               0.002377,               0.002377
                     80,                 2.1181,                0.98139,                0.98143,                0.43167,                0.32858,                0.32681,                 0.1859,                 2.0864,                0.95527,                 0.9583,               0.002278,               0.002278,               0.002278
                     81,                  2.116,                0.97426,                0.97538,                0.43506,                0.32784,                0.32654,                0.18632,                 2.0852,                0.95384,                0.95761,               0.002179,               0.002179,               0.002179
                     82,                 2.1159,                0.97407,                0.97476,                0.43145,                0.33063,                0.32753,                0.18655,                 2.0846,                0.95282,                0.95775,                0.00208,                0.00208,                0.00208
                     83,                 2.1174,                0.97791,                0.97738,                0.44084,                0.32766,                0.32815,                0.18678,                 2.0836,                0.95289,                0.95758,               0.001981,               0.001981,               0.001981
                     84,                 2.1149,                0.97273,                0.97739,                0.43256,                0.33122,                0.32907,                0.18735,                 2.0829,                 0.9507,                0.95744,               0.001882,               0.001882,               0.001882
                     85,                  2.115,                0.97413,                0.97422,                0.43835,                0.32781,                0.33015,                0.18818,                 2.0822,                0.94981,                0.95722,               0.001783,               0.001783,               0.001783
                     86,                 2.1155,                0.97057,                0.97624,                0.43816,                0.33055,                0.32953,                0.18795,                 2.0831,                0.94886,                0.95758,               0.001684,               0.001684,               0.001684
                     87,                 2.1097,                0.96757,                0.97536,                0.44059,                 0.3306,                0.33126,                0.18851,                 2.0827,                0.94811,                0.95709,               0.001585,               0.001585,               0.001585
                     88,                 2.1129,                0.97057,                0.97621,                0.44335,                0.32787,                0.33122,                0.18828,                 2.0825,                0.94778,                0.95651,               0.001486,               0.001486,               0.001486
                     89,                 2.1094,                 0.9624,                0.97473,                0.44183,                0.33153,                0.33195,                0.18948,                 2.0828,                0.94778,                0.95626,               0.001387,               0.001387,               0.001387
                     90,                 2.1074,                0.96106,                0.97249,                0.44484,                0.33035,                0.33253,                0.18968,                 2.0828,                0.94737,                0.95662,               0.001288,               0.001288,               0.001288
                     91,                 2.0966,                 0.9374,                0.98235,                0.44017,                0.33196,                0.33136,                0.18826,                 2.0841,                0.94849,                0.95708,               0.001189,               0.001189,               0.001189
                     92,                 2.0878,                 0.9257,                0.97496,                0.44263,                 0.3299,                0.33123,                0.18853,                 2.0847,                0.94934,                0.95734,                0.00109,                0.00109,                0.00109
                     93,                  2.087,                0.92303,                 0.9759,                0.43977,                0.33034,                 0.3313,                0.18824,                 2.0851,                0.94812,                0.95715,               0.000991,               0.000991,               0.000991
                     94,                 2.0856,                0.92199,                0.97525,                0.44548,                0.32889,                0.33116,                0.18841,                 2.0841,                0.94605,                0.95689,               0.000892,               0.000892,               0.000892
                     95,                 2.0842,                0.91749,                0.97397,                0.44299,                0.32949,                0.33165,                0.18892,                  2.084,                0.94624,                0.95692,               0.000793,               0.000793,               0.000793
                     96,                 2.0813,                0.91484,                 0.9738,                0.44572,                0.32983,                0.33242,                0.18981,                 2.0832,                0.94579,                0.95649,               0.000694,               0.000694,               0.000694
                     97,                 2.0806,                0.91277,                0.97128,                0.44507,                0.33089,                0.33197,                0.18964,                 2.0838,                0.94604,                0.95664,               0.000595,               0.000595,               0.000595
                     98,                 2.0795,                 0.9094,                0.97069,                0.44131,                0.32964,                0.33184,                0.18957,                 2.0838,                0.94653,                0.95661,               0.000496,               0.000496,               0.000496
                     99,                 2.0758,                 0.9048,                0.97129,                0.44059,                 0.3292,                0.33212,                0.18964,                 2.0836,                0.94658,                 0.9564,               0.000397,               0.000397,               0.000397
                    100,                 2.0762,                0.90442,                0.97123,                 0.4444,                0.32816,                0.33236,                0.18975,                 2.0837,                0.94569,                0.95649,               0.000298,               0.000298,               0.000298
