                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 2.3185,                 1.2992,                  0.978,                0.42837,                0.30846,                0.30471,                 0.1667,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     40,                 2.3256,                 1.2965,                 0.9751,                0.42659,                0.30839,                0.30421,                0.16682,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     41,                 2.3222,                 1.2898,                0.97699,                0.42931,                0.31713,                0.31048,                0.17033,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     42,                 2.3028,                 1.2822,                0.96766,                0.42812,                 0.3188,                0.31064,                 0.1707,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     43,                 2.2963,                 1.2801,                0.96642,                0.44049,                0.31307,                0.31208,                0.17314,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     44,                 2.3042,                 1.2762,                0.96735,                0.44794,                0.31499,                0.31483,                0.17395,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     45,                 2.2936,                 1.2801,                0.96363,                0.44739,                0.31641,                0.31474,                0.17353,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     46,                 2.2833,                 1.2624,                0.95427,                0.45275,                0.31107,                0.31233,                0.17319,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     47,                  2.283,                 1.2647,                0.95791,                0.45133,                0.31361,                0.31806,                0.17594,                      0,                      0,                      0,               0.005545,               0.005545,               0.005545
                     48,                  2.287,                 1.2727,                0.95752,                0.45764,                0.31904,                0.31869,                0.17673,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     49,                 2.2832,                 1.2591,                0.95987,                0.46296,                0.31981,                0.32259,                0.17889,                      0,                      0,                      0,               0.005347,               0.005347,               0.005347
                     50,                 2.2786,                 1.2566,                0.95372,                 0.4479,                0.32661,                0.32415,                0.17949,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     51,                 2.2645,                 1.2426,                 0.9495,                0.44717,                 0.3248,                0.32367,                0.17995,                      0,                      0,                      0,               0.005149,               0.005149,               0.005149
                     52,                 2.2519,                 1.2391,                0.94219,                0.44905,                0.33373,                0.32776,                0.18196,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     53,                 2.2619,                  1.245,                0.94947,                0.45098,                0.32963,                0.32882,                0.18178,                      0,                      0,                      0,               0.004951,               0.004951,               0.004951
                     54,                 2.2539,                 1.2401,                 0.9442,                0.44078,                0.33895,                 0.3302,                0.18398,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                     55,                 2.2488,                 1.2393,                0.94581,                0.45767,                0.33081,                0.32921,                0.18383,                      0,                      0,                      0,               0.004753,               0.004753,               0.004753
                     56,                 2.2419,                 1.2303,                 0.9378,                0.44782,                0.33799,                0.33134,                0.18448,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                     57,                  2.248,                 1.2247,                0.93622,                 0.4524,                 0.3332,                0.33151,                0.18541,                      0,                      0,                      0,               0.004555,               0.004555,               0.004555
                     58,                 2.2292,                 1.2139,                0.92951,                0.45424,                0.33712,                 0.3359,                0.18703,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                     59,                 2.2292,                 1.2185,                0.93169,                0.43898,                0.34258,                0.33727,                0.18789,                      0,                      0,                      0,               0.004357,               0.004357,               0.004357
                     60,                 2.2306,                 1.2224,                0.93097,                0.44374,                0.34273,                0.33659,                0.18889,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                     61,                 2.2261,                 1.2092,                0.92648,                0.45825,                0.34246,                0.33882,                0.19003,                      0,                      0,                      0,               0.004159,               0.004159,               0.004159
                     62,                 2.2189,                 1.2011,                 0.9212,                0.46588,                0.34536,                0.34086,                 0.1902,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     63,                 2.2189,                 1.2075,                0.92462,                0.46658,                0.34627,                0.34329,                0.19255,                      0,                      0,                      0,               0.003961,               0.003961,               0.003961
                     64,                 2.2149,                 1.2003,                0.92288,                0.46236,                  0.345,                0.34213,                0.19145,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
                     65,                 2.2026,                 1.1977,                0.91945,                0.46719,                0.34323,                0.34391,                0.19246,                      0,                      0,                      0,               0.003763,               0.003763,               0.003763
                     66,                 2.2046,                 1.1948,                0.91731,                 0.4577,                0.34765,                0.34488,                0.19267,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                     67,                 2.2007,                 1.1905,                0.91665,                0.44855,                0.35262,                0.34464,                0.19309,                      0,                      0,                      0,               0.003565,               0.003565,               0.003565
                     68,                 2.1953,                 1.1949,                0.91815,                0.45244,                0.35169,                0.34546,                0.19353,                      0,                      0,                      0,               0.003466,               0.003466,               0.003466
                     69,                  2.189,                 1.1879,                0.91151,                0.45713,                0.35041,                0.34633,                0.19481,                      0,                      0,                      0,               0.003367,               0.003367,               0.003367
                     70,                 2.1961,                  1.183,                0.91124,                0.46868,                0.34269,                0.34486,                0.19428,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                     71,                 2.1834,                 1.1728,                0.90669,                 0.4649,                0.34776,                0.34527,                0.19331,                      0,                      0,                      0,               0.003169,               0.003169,               0.003169
                     72,                 2.1838,                 1.1717,                0.90146,                 0.4605,                0.34951,                0.34641,                0.19398,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     73,                 2.1835,                 1.1698,                0.90281,                0.46221,                0.35121,                0.34734,                0.19502,                      0,                      0,                      0,               0.002971,               0.002971,               0.002971
                     74,                 2.1863,                 1.1709,                0.90479,                 0.4705,                0.34608,                0.34862,                 0.1958,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                     75,                 2.1696,                 1.1619,                0.90109,                0.48036,                0.34268,                0.34767,                0.19452,                      0,                      0,                      0,               0.002773,               0.002773,               0.002773
                     76,                 2.1663,                 1.1548,                0.89775,                0.46833,                0.34977,                0.35008,                0.19732,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                     77,                 2.1705,                 1.1582,                0.89891,                  0.467,                0.34943,                0.35163,                0.19841,                      0,                      0,                      0,               0.002575,               0.002575,               0.002575
                     78,                  2.173,                 1.1567,                0.89825,                0.46611,                0.35334,                0.35253,                 0.1988,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                     79,                 2.1598,                 1.1507,                0.88937,                0.47148,                0.34668,                0.35064,                0.19829,                      0,                      0,                      0,               0.002377,               0.002377,               0.002377
                     80,                 2.1586,                 1.1543,                0.89401,                0.47057,                0.35023,                0.35166,                 0.1984,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                     81,                  2.152,                   1.14,                0.88478,                0.47357,                0.34908,                0.35263,                0.19944,                      0,                      0,                      0,               0.002179,               0.002179,               0.002179
                     82,                 2.1535,                 1.1383,                0.88721,                0.47152,                0.35135,                0.35281,                 0.1996,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     83,                 2.1507,                 1.1413,                0.88634,                  0.474,                0.35377,                0.35457,                0.20077,                      0,                      0,                      0,               0.001981,               0.001981,               0.001981
